"Network","Domain","Path","Name","Value","Last Checked","Information Page","Notes"
,".adroll.com","/","__adroll_opt_out","OPT_OUT_foobar","2010-11-16 00:00:04","Thanks to Jim Brock at PrivacyChoice",
,".adsummos.net","/","adsud0","OPT-OUT","2010-11-16 00:00:05","Thanks to Jim Brock at PrivacyChoice",
,".amazon.com","/","apn-privacy",1,"2010-11-16 00:00:06","Thanks to Jim Brock at PrivacyChoice",
,".aol.co.uk","/","WlOptOut","Yes","2010-11-16 00:00:07","Thanks to Jim Brock at PrivacyChoice",
,".ask.com","/","askeraser","on","2010-11-16 00:00:08","Thanks to Jim Brock at PrivacyChoice",
,".atdmt.com","/","ID","optout","2010-11-16 00:00:09","Thanks to Jim Brock at PrivacyChoice",
,".beencounter.com","/","cookie3","no-track","2010-11-16 00:00:10","Thanks to Jim Brock at PrivacyChoice",
,".brand.net","/","OPT","out","2010-11-16 00:00:11","Thanks to Jim Brock at PrivacyChoice",
,".buzzlogic.com","/","BL_Opted_Out",1,"2010-11-16 00:00:12","Thanks to Jim Brock at PrivacyChoice",
,".chango.com","/","chango.optout",1,"2010-11-16 00:00:13","Thanks to Jim Brock at PrivacyChoice",
,".chitika.net","/","AO","o%3D1","2010-11-16 00:00:14","Thanks to Jim Brock at PrivacyChoice",
,".constantcontact.com","/","opt-out","opt-out","2010-11-16 00:00:15","Thanks to Jim Brock at PrivacyChoice",
,".contextweb.com","/","CWOptOutCookie",1,"2010-11-16 00:00:16","Thanks to Jim Brock at PrivacyChoice",
,".convertro.com","/","cvo_sid1",100000000000,"2010-11-16 00:00:17","Thanks to Jim Brock at PrivacyChoice",
,".ctasnet.com","/","o",9,"2010-11-16 00:00:18","Thanks to Jim Brock at PrivacyChoice",
,".demdex.net","/","demdex","NOTARGET","2010-11-16 00:00:19","Thanks to Jim Brock at PrivacyChoice",
,".displaymarketplace.com","/","NoTrack",6.34086120591247E+017,"2010-11-16 00:00:20","Thanks to Jim Brock at PrivacyChoice",
,".dotomi.com","/","DotomiRR2000","-1$1$1$","2010-11-16 00:00:21","Thanks to Jim Brock at PrivacyChoice",
,".esm1.net","/","optout","yes","2010-11-16 00:00:22","Thanks to Jim Brock at PrivacyChoice",
,".everesttech.net","/","ev_optout",1,"2010-11-16 00:00:23","Thanks to Jim Brock at PrivacyChoice",
,".exelator.com","/","DNP","eXelate+OptOut","2010-11-16 00:00:24","Thanks to Jim Brock at PrivacyChoice",
,".eyereturn.com","/","EROO","O","2010-11-16 00:00:25","Thanks to Jim Brock at PrivacyChoice",
,".gbid.adbuyer.com","/","tuuid","opt-out","2010-11-16 00:00:26","Thanks to Jim Brock at PrivacyChoice",
,".gigya.com","/","GigNoCK",1,"2010-11-16 00:00:27","Thanks to Jim Brock at PrivacyChoice",
,".gwallet.com","/","ra1_oo",1,"2010-11-16 00:00:28","Thanks to Jim Brock at PrivacyChoice",
,".hitbox.com","/","WSS_GW","V1z%BX^e@Ceer","2010-11-16 00:00:29","Thanks to Jim Brock at PrivacyChoice",
,".impressiondesk.com","/","optout","*","2010-11-16 00:00:30","Thanks to Jim Brock at PrivacyChoice",
,".keewurd.com","/","OptOut",1,"2010-11-16 00:00:31","Thanks to Jim Brock at PrivacyChoice",
,".legolas-media.com","/","optout",1,"2010-11-16 00:00:32","Thanks to Jim Brock at PrivacyChoice",
,".lijit.com","/","tracking_optout",1,"2010-11-16 00:00:33","Thanks to Jim Brock at PrivacyChoice",
,".meebo.com","/","tcookie","OPT_OUT","2010-11-16 00:00:34","Thanks to Jim Brock at PrivacyChoice",
,".monster.com","/","CANOptOut",1,"2010-11-16 00:00:35","Thanks to Jim Brock at PrivacyChoice",
,".mookie1.com","/","optouts","cookies","2010-11-16 00:00:36","Thanks to Jim Brock at PrivacyChoice",
,".mxptint.net","/","mxpim","optout","2010-11-16 00:00:37","Thanks to Jim Brock at PrivacyChoice",
,".mybuys.com","/","mbc","optout","2010-11-16 00:00:38","Thanks to Jim Brock at PrivacyChoice",
,".mythings.com","/","optout",1,"2010-11-16 00:00:39","Thanks to Jim Brock at PrivacyChoice",
,".newtention.net","/","id","optout","2010-11-16 00:00:40","Thanks to Jim Brock at PrivacyChoice",
,".owneriq.net","/","optout","optout","2010-11-16 00:00:41","Thanks to Jim Brock at PrivacyChoice",
,".predictad.com","/","predictad_dc",1,"2010-11-16 00:00:42","Thanks to Jim Brock at PrivacyChoice",
,".proximic.com","/","optout",1,"2010-11-16 00:00:43","Thanks to Jim Brock at PrivacyChoice",
,".pulsemgr.com","/","x","OPTOUT","2010-11-16 00:00:44","Thanks to Jim Brock at PrivacyChoice",
,".qnsr.com","/","QIDA","OPT_OUT","2010-11-16 00:00:45","Thanks to Jim Brock at PrivacyChoice",
,".raasnet.com","/","o",9,"2010-11-16 00:00:46","Thanks to Jim Brock at PrivacyChoice",
,".raasnet.com","/","ctrn",0,"2010-11-16 00:00:47","Thanks to Jim Brock at PrivacyChoice",
,".rfihub.com","/","k","bOPT-OUT","2010-11-16 00:00:48","Thanks to Jim Brock at PrivacyChoice",
,".rubiconproject.com","/","fu","on","2010-11-16 00:00:49","Thanks to Jim Brock at PrivacyChoice",
,".saymedia.com","/","UsesLocalStoredObject","NotDetermined","2010-11-16 00:00:50","Thanks to Jim Brock at PrivacyChoice",
,".scorecardresearch.com","/","NO_COOKIE",1,"2010-11-16 00:00:51","Thanks to Jim Brock at PrivacyChoice",
,".server.cpmstar.com","/","x",1,"2010-11-16 00:00:52","Thanks to Jim Brock at PrivacyChoice",
,".sharethis.com","/","st_optout",1,"2010-11-16 00:00:53","Thanks to Jim Brock at PrivacyChoice",
,".simpli.fi","/","opted_out",1,"2010-11-16 00:00:54","Thanks to Jim Brock at PrivacyChoice",
,".spongecell.com","/","auid",0,"2010-11-16 00:00:55","Thanks to Jim Brock at PrivacyChoice",
,".spongecell.com","/","_spongecell_loves_u",,"2010-11-16 00:00:56","Thanks to Jim Brock at PrivacyChoice",
,".struq.com","/","pref","optout","2010-11-16 00:00:57","Thanks to Jim Brock at PrivacyChoice",
,".svc.pch.com","/","Optout","OPT_OUT","2010-11-16 00:00:58","Thanks to Jim Brock at PrivacyChoice",
,".tag.admeld.com","/","admeld_opt_out",1,"2010-11-16 00:00:59","Thanks to Jim Brock at PrivacyChoice",
,".tellapart.com","/","btexclude",1,"2010-11-16 00:00:60","Thanks to Jim Brock at PrivacyChoice",
,".teracent.net","/","uid","opt_out.###","2010-11-16 00:00:61","Thanks to Jim Brock at PrivacyChoice",
,".tidaltv.com","/","opt-out",1,"2010-11-16 00:00:62","Thanks to Jim Brock at PrivacyChoice",
,".tradedoubler.com","/","OPTOUT","z11zzujzlRSz2","2010-11-16 00:00:63","Thanks to Jim Brock at PrivacyChoice",
,".traveladvertising.com","/","PRIVACY",1,"2010-11-16 00:00:64","Thanks to Jim Brock at PrivacyChoice",
,".triggit.com","/","trgoptout",1,"2010-11-16 00:00:65","Thanks to Jim Brock at PrivacyChoice",
,".valueclick.net","/","ksa","optout","2010-11-16 00:00:66","Thanks to Jim Brock at PrivacyChoice",
,".veruta.com","/","optout",1,"2010-11-16 00:00:67","Thanks to Jim Brock at PrivacyChoice",
,".vindicosuite.com","/","VINDICOAUDIENCEISSUEDIDENTITY","VINDICOAUDIENCEOPTOUT","2010-11-16 00:00:68","Thanks to Jim Brock at PrivacyChoice",
,".visiblemeasures.com","/","UsesLocalStoredObject","NotDetermined","2010-11-16 00:00:69","Thanks to Jim Brock at PrivacyChoice",
,".wtp101.com","/","tuuid","opt-out","2010-11-16 00:00:70","Thanks to Jim Brock at PrivacyChoice",
,"ad.wsod.com","/","u_1","OPT_OUT","2010-11-16 00:00:71","Thanks to Jim Brock at PrivacyChoice",
,"ad.yieldmanager.com","/","optout",1,"2010-11-16 00:00:72","Thanks to Jim Brock at PrivacyChoice",
,"ad.yieldmanager.com","/","optout",1,"2010-11-16 00:00:73","Thanks to Jim Brock at PrivacyChoice",
,"ad.yieldmanager.com","/","optout",1,"2010-11-16 00:00:74","Thanks to Jim Brock at PrivacyChoice",
,"adadvisor.net","/","id","opt-out","2010-11-16 00:00:75","Thanks to Jim Brock at PrivacyChoice",
